#rho	amplitude	phase
0.00000	0.000023	0.667385
0.00102	0.000023	0.686878
0.00204	0.000023	0.745307
0.00306	0.000023	0.842233
0.00408	0.000023	0.976003
0.00510	0.000024	1.142672
0.00612	0.000025	1.335379
0.00714	0.000028	1.545041
0.00816	0.000031	1.762451
0.00918	0.000035	1.980517
0.01020	0.000040	2.195268
0.01122	0.000046	2.405418
0.01224	0.000054	2.611315
0.01327	0.000063	2.813974
0.01429	0.000074	3.014487
0.01531	0.000087	-3.069439
0.01633	0.000103	-2.870813
0.01735	0.000122	-2.672445
0.01837	0.000144	-2.474144
0.01939	0.000171	-2.275834
0.02041	0.000203	-2.077507
0.02143	0.000241	-1.879182
0.02245	0.000286	-1.680882
0.02347	0.000341	-1.482630
0.02449	0.000406	-1.284435
0.02551	0.000485	-1.086304
0.02653	0.000579	-0.888233
0.02755	0.000691	-0.690217
0.02857	0.000827	-0.492251
0.02959	0.000989	-0.294328
0.03061	0.001185	-0.096441
0.03163	0.001420	0.101414
0.03265	0.001702	0.299241
0.03367	0.002041	0.497044
0.03469	0.002449	0.694824
0.03571	0.002940	0.892585
0.03673	0.003530	1.090328
0.03776	0.004242	1.288054
0.03878	0.005098	1.485765
0.03980	0.006129	1.683461
0.04082	0.007372	1.881145
0.04184	0.008869	2.078817
0.04286	0.010674	2.276477
0.04388	0.012850	2.474127
0.04490	0.015474	2.671768
0.04592	0.018638	2.869400
0.04694	0.022455	3.067024
0.04796	0.027060	-3.018546
0.04898	0.032618	-2.820937
0.05000	0.039325	-2.623335
0.05102	0.047422	-2.425739
0.05204	0.057198	-2.228149
0.05306	0.069002	-2.030565
0.05408	0.083259	-1.832986
0.05510	0.100479	-1.635412
0.05612	0.121283	-1.437843
0.05714	0.146418	-1.240278
0.05816	0.176791	-1.042717
0.05918	0.213499	-0.845160
0.06020	0.257867	-0.647606
0.06122	0.311502	-0.450057
0.06224	0.376345	-0.252510
0.06327	0.454749	-0.054967
0.06429	0.549559	0.142574
0.06531	0.664222	0.340111
0.06633	0.802909	0.537646
0.06735	0.970670	0.735178
0.06837	1.173620	0.932707
0.06939	1.419165	1.130235
0.07041	1.716272	1.327760
0.07143	2.075801	1.525282
0.07245	2.510906	1.722803
0.07347	3.037519	1.920322
0.07449	3.674940	2.117839
0.07551	4.446547	2.315354
0.07653	5.380664	2.512868
0.07755	6.511606	2.710379
0.07857	7.880950	2.907889
0.07959	9.539076	3.105398
0.08061	11.547029	-2.980280
0.08163	13.978789	-2.782775
0.08265	16.924012	-2.585270
0.08367	20.491357	-2.387767
0.08469	24.812522	-2.190265
0.08571	30.047137	-1.992765
0.08673	36.388697	-1.795265
0.08776	44.071764	-1.597767
0.08878	53.380685	-1.400270
0.08980	64.660188	-1.202774
0.09082	78.328215	-1.005279
0.09184	94.891497	-0.807785
0.09286	114.964445	-0.610291
0.09388	139.292068	-0.412799
0.09490	168.777766	-0.215308
0.09592	204.517054	-0.017817
0.09694	247.838476	0.179672
0.09796	300.353233	0.377161
0.09898	364.015408	0.574649
0.10000	441.195019	0.772137
