#Interface: 
#rho	amplitude	phase
0.0000	31.830525	-0.009348
0.0021	31.830525	-0.009340
0.0042	31.830525	-0.009315
0.0063	31.830525	-0.009275
0.0083	31.830525	-0.009218
0.0104	31.830525	-0.009145
0.0125	31.830526	-0.009056
0.0146	31.830526	-0.008950
0.0167	31.830527	-0.008829
0.0187	31.830528	-0.008691
0.0208	31.830530	-0.008536
0.0229	31.830533	-0.008366
0.0250	31.830536	-0.008179
0.0271	31.830540	-0.007977
0.0292	31.830545	-0.007757
0.0312	31.830552	-0.007522
0.0333	31.830559	-0.007271
0.0354	31.830569	-0.007003
0.0375	31.830580	-0.006719
0.0396	31.830593	-0.006419
0.0417	31.830609	-0.006102
0.0437	31.830627	-0.005769
0.0458	31.830648	-0.005420
0.0479	31.830672	-0.005055
0.0500	31.830699	-0.004674
0.0521	31.830730	-0.004276
0.0542	31.830764	-0.003863
0.0563	31.830803	-0.003432
0.0583	31.830847	-0.002986
0.0604	31.830896	-0.002524
0.0625	31.830949	-0.002045
0.0646	31.831009	-0.001550
0.0667	31.831074	-0.001039
0.0688	31.831146	-0.000511
0.0708	31.831225	0.000032
0.0729	31.831311	0.000592
0.0750	31.831405	0.001168
0.0771	31.831507	0.001761
0.0792	31.831618	0.002369
0.0813	31.831737	0.002994
0.0833	31.831866	0.003635
0.0854	31.832006	0.004292
0.0875	31.832155	0.004966
0.0896	31.832316	0.005656
0.0917	31.832489	0.006361
0.0938	31.832674	0.007084
0.0958	31.832871	0.007822
0.0979	31.833082	0.008577
0.1000	31.833306	0.009347
