#Interface: 
#rho	amplitude	phase
0.0000	27.919490	-0.895231
0.0021	27.919495	-0.894420
0.0042	27.919564	-0.891985
0.0063	27.919863	-0.887928
0.0083	27.920667	-0.882248
0.0104	27.922363	-0.874946
0.0125	27.925446	-0.866021
0.0146	27.930523	-0.855477
0.0167	27.938310	-0.843313
0.0187	27.949631	-0.829535
0.0208	27.965419	-0.814145
0.0229	27.986713	-0.797150
0.0250	28.014657	-0.778558
0.0271	28.050500	-0.758380
0.0292	28.095587	-0.736629
0.0312	28.151361	-0.713323
0.0333	28.219353	-0.688482
0.0354	28.301182	-0.662131
0.0375	28.398543	-0.634299
0.0396	28.513202	-0.605022
0.0417	28.646984	-0.574338
0.0437	28.801767	-0.542292
0.0458	28.979467	-0.508936
0.0479	29.182029	-0.474325
0.0500	29.411411	-0.438520
0.0521	29.669575	-0.401588
0.0542	29.958471	-0.363599
0.0563	30.280025	-0.324628
0.0583	30.636126	-0.284755
0.0604	31.028618	-0.244059
0.0625	31.459286	-0.202622
0.0646	31.929847	-0.160529
0.0667	32.441948	-0.117861
0.0688	32.997157	-0.074700
0.0708	33.596963	-0.031126
0.0729	34.242775	0.012786
0.0750	34.935922	0.056964
0.0771	35.677662	0.101338
0.0792	36.469182	0.145848
0.0813	37.311609	0.190436
0.0833	38.206019	0.235050
0.0854	39.153445	0.279645
0.0875	40.154890	0.324181
0.0896	41.211337	0.368624
0.0917	42.323761	0.412945
0.0938	43.493142	0.457122
0.0958	44.720475	0.501135
0.0979	46.006781	0.544970
0.1000	47.353121	0.588618
