19*"Table"	28527.315438177717*"Table"
20*"Table"	114775.19736006626*"Table"
21*"Table"	233697.76938210614*"Table"
22*"Table"	253881.0300549353*"Table"
23*"Table"	-152736.94500702858*"Table"
24*"Table"	-1.4604001774254201*^6*"Table"
25*"Table"	-3.808789911444038*^6*"Table"
26*"Table"	-5.744444080346798*^6*"Table"
27*"Table"	-2.3078367382081607*^6*"Table"
28*"Table"	1.5776182065320354*^7*"Table"
29*"Table"	5.695037868306652*^7*"Table"
30*"Table"	1.0995571318250638*^8*"Table"
31*"Table"	1.0697485405001926*^8*"Table"
32*"Table"	-1.13200912722051*^8*"Table"
33*"Table"	-7.700902396541173*^8*"Table"
34*"Table"	-1.8875585002407968*^9*"Table"
35*"Table"	-2.6608730553930984*^9*"Table"
36*"Table"	-5.454061056870332*^8*"Table"
37*"Table"	8.984635129651943*^9*"Table"
38*"Table"	2.951909740346501*^10*"Table"
39*"Table"	5.385236073598605*^10*"Table"
40*"Table"	4.562813028564169*^10*"Table"
41*"Table"	-7.704979755776195*^10*"Table"
42*"Table"	-4.178685995565503*^11*"Table"
43*"Table"	-9.639651908826339*^11*"Table"
44*"Table"	-1.2592511076461963*^12*"Table"
45*"Table"	3.608671210215234*^10*"Table"
46*"Table"	5.1753656434947*^12*"Table"
47*"Table"	1.5642247623056516*^13*"Table"
48*"Table"	2.6890056764245914*^13*"Table"
49*"Table"	1.905638230627128*^13*"Table"
50*"Table"	-5.019264625446192*^13*"Table"
51*"Table"	-2.300710421384395*^14*"Table"
52*"Table"	-5.001446762346871*^14*"Table"
53*"Table"	-5.993456776040246*^14*"Table"
54*"Table"	1.8771737697727712*^14*"Table"
55*"Table"	2.993420734623186*^15*"Table"
56*"Table"	8.389429438141264*^15*"Table"
57*"Table"	1.354735844357166*^16*"Table"
58*"Table"	7.506770743853848*^15*"Table"
59*"Table"	-3.181744510524375*^16*"Table"
60*"Table"	-1.2764727074061384*^17*"Table"
61*"Table"	-2.616681846877964*^17*"Table"
62*"Table"	-2.83861422199174*^17*"Table"
63*"Table"	1.906965009522041*^17*"Table"
64*"Table"	1.7325717652304292*^18*"Table"
65*"Table"	4.5291190535652644*^18*"Table"
66*"Table"	6.842416487000965*^18*"Table"
67*"Table"	2.592805639564068*^18*"Table"
68*"Table"	-1.979027795019944*^19*"Table"
69*"Table"	-7.1090546275114705*^19*"Table"
70*"Table"	-1.3741671637687955*^20*"Table"
71*"Table"	-1.3249189486236264*^20*"Table"
72*"Table"	1.5159551105298642*^20*"Table"
73*"Table"	1.0016878514672283*^21*"Table"
74*"Table"	2.452848782273973*^21*"Table"
75*"Table"	3.44834075060095*^21*"Table"
76*"Table"	6.080138135180752*^20*"Table"
77*"Table"	-1.2135355069375963*^22*"Table"
78*"Table"	-3.964899067069146*^22*"Table"
79*"Table"	-7.220864532195643*^22*"Table"
80*"Table"	-6.023968476830491*^22*"Table"
81*"Table"	1.0870656005294635*^23*"Table"
82*"Table"	5.778964825314353*^23*"Table"
83*"Table"	1.3295579561987272*^24*"Table"
84*"Table"	1.7269146809949225*^24*"Table"
85*"Table"	-1.1015459111357475*^23*"Table"
86*"Table"	-7.357674941562039*^24*"Table"
87*"Table"	-2.2109937732124887*^25*"Table"
88*"Table"	-3.78736642481285*^25*"Table"
89*"Table"	-2.6217585678516105*^25*"Table"
90*"Table"	7.364393651523733*^25*"Table"
91*"Table"	3.3248744542276744*^26*"Table"
92*"Table"	7.200938049147804*^26*"Table"
93*"Table"	8.55768541178963*^26*"Table"
94*"Table"	-3.053544030327735*^26*"Table"
95*"Table"	-4.419313111303396*^27*"Table"
96*"Table"	-1.231371954968348*^28*"Table"
97*"Table"	-1.9786214798786657*^28*"Table"
98*"Table"	-1.0573153204252364*^28*"Table"
99*"Table"	4.811881212127898*^28*"Table"
100*"Table"	1.906911409362378*^29*"Table"
101*"Table"	3.891596435577085*^29*"Table"
102*"Table"	4.175266724513425*^29*"Table"
103*"Table"	-3.0381426920549053*^29*"Table"
104*"Table"	-2.633120144765992*^30*"Table"
105*"Table"	-6.843256846572703*^30*"Table"
106*"Table"	-1.027479803391642*^31*"Table"
107*"Table"	-3.6525224664874636*^30*"Table"
108*"Table"	3.065805859850674*^31*"Table"
109*"Table"	1.0899011538629395*^32*"Table"
110*"Table"	2.0960917767326156*^32*"Table"
111*"Table"	1.992105445176731*^32*"Table"
112*"Table"	-2.4287585442109942*^32*"Table"
113*"Table"	-1.5577391961436426*^33*"Table"
114*"Table"	-3.7922721297180196*^33*"Table"
115*"Table"	-5.29190445870469*^33*"Table"
116*"Table"	-7.847927335363147*^32*"Table"
117*"Table"	1.917010509095742*^34*"Table"
118*"Table"	6.206417175142329*^34*"Table"
119*"Table"	1.1239583242116547*^35*"Table"
120*"Table"	9.200088423774187*^34*"Table"
121*"Table"	-1.7594223735853208*^35*"Table"
122*"Table"	-9.156270054624239*^35*"Table"
123*"Table"	-2.094233176193819*^36*"Table"
124*"Table"	-2.696216897764219*^36*"Table"
125*"Table"	2.638320821491403*^35*"Table"
126*"Table"	1.181206245977887*^37*"Table"
127*"Table"	3.5204491980885393*^37*"Table"
128*"Table"	5.993067098795295*^37*"Table"
129*"Table"	4.0413837641209217*^37*"Table"
130*"Table"	-1.204598977617331*^38*"Table"
131*"Table"	-5.349979583448402*^38*"Table"
132*"Table"	-1.1518021047952373*^39*"Table"
133*"Table"	-1.3544818766386239*^39*"Table"
134*"Table"	5.4091553473530185*^38*"Table"
135*"Table"	7.191676260697082*^39*"Table"
136*"Table"	1.9886802554059874*^40*"Table"
137*"Table"	3.173653099436245*^40*"Table"
